0,1,2,3,4,5,gpt_correct,gpt_choiceA_probs,gpt_choiceB_probs,gpt_choiceC_probs,gpt_choiceD_probs
London dispersion forces are caused by,temporary dipoles created by the position of electrons around the nuclei in a molecule,the three-dimensional intermolecular bonding present in all covalent substances,the uneven electron-to-proton ratio found on individual atoms of a molecule,the electronegativity differences between the different atoms in a molecule,A,False,0.27427831292152405,0.11439116299152374,0.18811486661434174,0.42321568727493286
Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,"70 pm, 1402 kJ/mol","86 pm, 898 kJ/mol","135 pm, 523 kJ/mol","40 pm, 995 kJ/mol",A,False,0.2310332953929901,0.16788756847381592,0.49079078435897827,0.11028832197189331
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains",ionic bonding,nonpolar covalent bonding,covalent network bonding,metallic bonding,C,False,0.26623350381851196,0.11730422079563141,0.26496902108192444,0.351493239402771
The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is,Ag+(aq) + Br-(aq) → AgBr(s),NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq),Br-(aq) + NO3-(aq) → NO3Br(aq),NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq),A,False,0.29054856300354004,0.32519295811653137,0.31337031722068787,0.07088815420866013
The symbol for antimony is,W,Sb,Fe,An,B,False,0.20566996932029724,0.20880044996738434,0.16420099139213562,0.4213285744190216
"A sealed, rigid container contains three gases: 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor. If the total pressure exerted by the gases is 2.0 atm, what is the partial pressure of the nitrogen?",0.33 atm,0.40 atm,0.50 atm,2.0 atm,C,True,0.16325487196445465,0.30132272839546204,0.36811110377311707,0.16731132566928864
Monatomic ions of the representative elements are often,very soluble,very electronegative,isoelectronic with a noble gas,highly colored,C,False,0.18765559792518616,0.10903678834438324,0.17721523344516754,0.5260924100875854
Hund's rule requires that,no two electrons can have the same four quantum numbers,no two electrons with the same spin can occupy an orbital,no two electrons can occupy separate orbitals,no two electrons can pair up if there is an empty orbital at the same energy level available,D,True,0.23158349096775055,0.25285103917121887,0.21131491661071777,0.3042505383491516
All of the following ions have the same electron configuration except,Rb+,Se2-,As5+,Sr2+,C,False,0.43965810537338257,0.13651181757450104,0.2682495713233948,0.1555805653333664
"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because",the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid,sulfuric acid has more oxygen atoms in its formula,the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid,sulfuric acid has the hydrogen atoms bound directly to the sulfur atom,A,False,0.15312914550304413,0.10237165540456772,0.14456887543201447,0.5999303460121155
